restaurant_id,rest_type
1145,Sweet Shop
1146,Quick Bites
1147,Beverage Shop
1148,Dessert Parlor
1149,Quick Bites
1150,Quick Bites
1151,Food Court
1152,Delivery
1153,Quick Bites
1154,Casual Dining
1155,Quick Bites
1156,Casual Dining
1157,Casual Dining
1158,Quick Bites
1159,Quick Bites
1160,Quick Bites
1161,Quick Bites
1162,Delivery
1163,Bakery
1164,Delivery
1165,Quick Bites
1166,Delivery
1167,Quick Bites
1168,Quick Bites
1169,Quick Bites
1170,Quick Bites
1171,Takeaway
1171,Delivery
1172,Quick Bites
1173,Dessert Parlor
1174,Cafe
1175,Dessert Parlor
1176,Dessert Parlor
1177,Casual Dining
1178,Quick Bites
1179,Casual Dining
1180,Quick Bites
1181,Bakery
1182,Casual Dining
1183,Mess
1184,Quick Bites
1185,Food Court
1186,Beverage Shop
1187,Beverage Shop
1187,Quick Bites
1188,Casual Dining
1189,Quick Bites
1190,Casual Dining
1191,Cafe
1191,Quick Bites
1192,Quick Bites
1193,Quick Bites
1194,Casual Dining
1195,Quick Bites
1196,Mess
1197,Quick Bites
1198,Takeaway
1198,Delivery
1199,Quick Bites
1200,Beverage Shop
1201,Casual Dining
1202,Quick Bites
1203,Quick Bites
1204,Casual Dining
1205,Quick Bites
1206,Quick Bites
1207,Food Court
1208,Quick Bites
1209,Quick Bites
1210,Food Court
1211,Quick Bites
1212,Beverage Shop
1213,Casual Dining
1213,Bar
1214,Quick Bites
1215,Bakery
1216,Quick Bites
1217,Quick Bites
1218,Delivery
1219,Takeaway
1219,Delivery
1220,Casual Dining
1221,Quick Bites
1222,Quick Bites
1223,Takeaway
1223,Delivery
1224,Quick Bites
1225,Takeaway
1226,Casual Dining
1227,Delivery
1228,Cafe
1229,Delivery
1230,Casual Dining
1231,Takeaway
1231,Delivery
1232,Quick Bites
1233,Beverage Shop
1234,Casual Dining
1235,Quick Bites
1236,Quick Bites
1237,Quick Bites
1238,Takeaway
1238,Delivery
1239,Takeaway
1239,Delivery
1240,Quick Bites
1241,Delivery
1242,Takeaway
1242,Delivery
1243,Delivery
1244,Casual Dining
1245,Food Court
1246,Bakery
1247,Food Truck
1248,Delivery
1249,Casual Dining
1250,Quick Bites
1251,Quick Bites
1252,Quick Bites
1253,Food Court
1254,Quick Bites
1255,Quick Bites
1256,Casual Dining
1257,Casual Dining
1258,Quick Bites
1259,Casual Dining
1260,Quick Bites
1261,Quick Bites
